Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
2676,Need for change in system,,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too,Treatment because of race,Describes personal race,Being a mixed black and hispanic male hurts. We are seen as bad and that puts me on my gaurd in subjects like that,,,,,,,,,,,
7564,Time,,"[Yes] As i get older i understand now its us the people who can make a change for years to come,",Treatment because of race,,"[Somewhat] My mother is full Native, Are people just set back like look what they did to are land,",,,,,,,,,,,
7905,Experience in prison,,The way we are treated in here we are like cows not human it all about money thay dont wont you to better your self so you keep coming back,,,We all need a lot of.help in this prisonand very much wene we get out please help us some of us dont i say dont have any help. Thay just make me do more time and nevergive me any programs or help,,,,,,,,,,,
489,Education,,I've learned more about it then I've known before.... I wasn't really into it then like I am now...,Treatment because of race,,Some people think because I'm a African American.... That I'm stupid to a lot of things like when it comes to political things in nature....,,,,,,,,,,,
4095,Political opinion,,"For one we fund to many countries,when that money should go for our veterans,schools,and elderly,our very own tax payers,plus the prison system is one of the largest comodyites behind argriculture,its a scam for states to cheat taxpayers,the u.s.a. has more incarcerated people than any other country.inmates are not considered human no matter their crime.the sentenceing guildlines are far outdated",Racial differences in prison ,,Its the caucasions thats the minority in prison and out of prison.you can only yell race discrimination so long before its a thorn,,,,,,,,,,,
6036,Views on politicians,,Because i want my country to get a right president,Treatment towards particular race,,Because they tend to only listent to non colored,,,,,,,,,,,
602,Believes political vote matters more,,It makes me want to vote more,Injustice towards BLack people ,,Because black people are treated different,,,,,,,,,,,
7691,Education,,Yes i look into things more,,,Everyone looks at things diffrent,,,,,,,,,,,
6334,Experience in prison,,I watch things unfold more clearly in prison then i do when im all busy amd working on the streets,,,Well im a prisoner and i view things different,,,,,,,,,,,
5653,Believes political vote matters more,,"I am in a state that does not allow any felons vote if incarcerated, on probation, or on parole/post-release.",,,I was one of them that voted for Obama on his first term,,,,,,,,,,,
3262,Time,Education ,More time to sit down and watch news and get answers,Treatment because of race,Injustice towards Black people,Because im.black i barely even get asked do i want to vote especially in kane county its very segregated,,,,,,,,,,,
7149,N/A,,Re,Na,,My belief is tha,,,,,,,,,,,
5136,Views on politicians,,"News media and politicians spend to much time on crime and the negative side of it for ratings, elections, and political influence.

They should be looking at root causes and how to help, and i mean real help not the kind that just looks good on paper. People should be being prepared to go back out into communities from the first day they walk through prison doors.

Locking people up and throwing away the key no matter what they have done is not the answer and we have created big bussiness from this. Instead of being people we have become less than human and money on the foot.

There are other issues with this that i would be more than happy to talk to someone with.",,,"I haven't had to experience the racial identity issue because i have never put myself in that position, however i do see it and i do know people that think everything should be based on race.  

Prison politics are twisted and stupid and i have spent my incarciration walking this mine field that doesn't even amount to anything worth while.",,,,,,,,,,,
2363,View on policy,,Our gov. Of our great state of cali.knocked alot of time off our sentance for mile stones going to school ect.ect.,Na,,Its self explanitory,,,,,,,,,,,
8233,Believes political vote matters more,,"Yes,I think its unfair for inmates who are incarcerated who are citizans of the USA,DONT GET TO VOTE,I feel strongly that no matter what are charges if weve done are time and are changing are ways,I feel we should get to vote because it could make a difference.we have a voice,are charges dont define us",Race does not affect opinion ,,"I dont think Im racial,but I feel are country is.I dont see native americans be apart of politics or become presidant",,,,,,,,,,,
8242,Political opinion,,I dont agree with our law enforcement,,,My ideas are still the same. Jail hasnt changed them,,,,,,,,,,,
3354,Education,,I am more informed on certain issues. I never paid attention before.,Does not know ,,I don't know how to answer that question.,,,,,,,,,,,
6902,Personal experience,,My crime,An issue besides race,,Am gay,,,,,,,,,,,
7660,Education,,"Yes, i think it would change anyone view ",Should not matter ,,Your raial identity shouldnt matter tho its the person in what you study on your views,,,,,,,,,,,
3412,More aware,,Im more aware of whats going on in my country i actually care now,,,The prison i am in dont have racail problems,,,,,,,,,,,
7030,Experience in prison,open mind,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today.",Racial differences in prison ,,"Prison is by design, racially divisive; & unfortunately 98% of the prisoners are ignorant to the fact that this divisivness is by design not by caprice, so they perpetuate this negativity, and in doing so their political beliefs & creeds are influenced if not formed in the fog of this hate & negativity, which is what you people want & need, & get. Getting back to the """"?"""" Th, i absolutely do not, never have, and never will be influenced or dictated to by my race in any of my political views, i beliwve all humans are created equal, regardless of race,religion,or gender.",,,,,,,,,,,
